Province_Name,District_Name,Crop_Year,Season,Crop,Area,Yield
Western,Colombo,2003,Maha,Maize,6246,10718
Western,Kalutara,2003,Maha,Rice,17515,44891
Central,Kandy,2003,Maha,Maize,1212,6787
Western,Kalutara,2003,Yala,Rice,10826,25463
Southern,Hambantota,2003,Maha,Banana,36,1302
Western,Colombo,2003,Maha,Brinjal,1129,19414
Uva,Badulla,2003,Yala,Mango,3935,58337
Central,Matale,2003,Maha,Papaya,1381,60038
Uva,Monaragala,2003,Maha,Tomato,2827,17509
Uva,Monaragala,2004,Maha,Maize,3495,10031
Northern,Mannar,2004,Yala,Rice,24335,85051
Central,Kandy,2004,Maha,Maize,3572,25822
Uva,Monaragala,2004,Yala,Rice,9240,21622
Northern,Jaffna,2004,Maha,Banana,324,16897
Northern,Mullaitivu,2005,Yala,Maize,5958,21538
Central,Kandy,2005,Yala,Rice,25008,69972
North Western,Kurunegala,2005,Maha,Maize,1435,10721
Southern,Hambantota,2005,Yala,Rice,23142,55587
Western,Colombo,2005,Yala,Banana,303,16231
Southern,Galle,2006,Yala,Maize,4877,20181
Western,Colombo,2006,Yala,Rice,22349,67427
Uva,Badulla,2006,Yala,Maize,3120,23640
Eastern,Trincomalee,2006,Maha,Rice,10846,31974
Central,Nuwara Eliya,2006,Maha,Banana,289,14141
Southern,Hambantota,2007,Maha,Maize,7000,32000
Southern,Hambantota,2007,Yala,Rice,30000,95000
Uva,Monaragala,2007,Maha,Maize,6000,48000
North Western,Puttalam,2007,Yala,Rice,14000,37000
Northern,Jaffna,2008,Yala,Maize,6041,20896
Uva,Monaragala,2008,Yala,Rice,30306,94615
Sabaragamuwa,Kegalle,2008,Yala,Maize,3658,32300
Northern,Mullaitivu,2008,Yala,Rice,18416,49815
Central,Matale,2008,Yala,Banana,3603,160939
Northern,Vavuniya,2009,Maha,Maize,8852,43924
North Western,Puttalam,2009,Yala,Rice,32226,101512
Northern,Vavuniya,2009,Maha,Maize,4615,33736
Central,Kandy,2009,Maha,Rice,19428,46899
North Western,Kurunegala,2009,Yala,Banana,5010,265981
Southern,Hambantota,2010,Yala,Maize,10726,51174
Southern,Matara,2010,Yala,Rice,34973,102007
Western,Gampaha,2010,Maha,Maize,4750,43306
Northern,Mullaitivu,2010,Yala,Rice,24828,69394
Southern,Hambantota,2010,Yala,Banana,4416,223825
Central,Kandy,2011,Maha,Maize,25447,63465
North Central,Polonnaruwa,2011,Maha,Rice,37720,94531
North Central,Anuradhapura,2011,Yala,Maize,6208,48168
North Western,Kurunegala,2011,Yala,Rice,10948,25542
Southern,Hambantota,2011,Maha,Banana,8000,505176
Southern,Hambantota,2012,Yala,Brinjal,451,8211
North Central,Anuradhapura,2012,Maha,Maize,22039,63516
Southern,Galle,2012,Yala,Mango,6276,57601
Northern,Vavuniya,2012,Maha,Papaya,447,17197
Sabaragamuwa,Ratnapura,2012,Yala,Rice,22056,58691
Eastern,Ampara,2012,Maha,Tomato,2552,38561
Western,Gampaha,2012,Yala,Brinjal,251,4570
North Western,Kurunegala,2012,Maha,Maize,7070,50098
Sabaragamuwa,Ratnapura,2012,Maha,Rice,6998,17768
North Central,Polonnaruwa,2012,Yala,Tomato,1395,31096
Southern,Matara,2013,Maha,Brinjal,407,8624
Western,Colombo,2013,Yala,Cabbage,2,38
Southern,Matara,2013,Maha,Maize,27087,53226
Central,Kandy,2013,Maha,Mango,8711,74653
Central,Kandy,2013,Yala,Papaya,230,22418
Western,Gampaha,2013,Maha,Rice,28114,59377
Western,Gampaha,2013,Yala,Tomato,2991,88620
North Central,Polonnaruwa,2013,Yala,Brinjal,356,7543
Western,Colombo,2013,Yala,Cabbage,11,207
Northern,Mannar,2013,Yala,Maize,7777,57970
Southern,Matara,2013,Maha,Rice,12283,28558
Sabaragamuwa,Kegalle,2013,Yala,Tomato,3482,80532
Uva,Monaragala,2013,Maha,Banana,8661,483881
Western,Colombo,2014,Maha,Brinjal,320,7596
North Western,Kurunegala,2014,Maha,Cabbage,10,123
Central,Nuwara Eliya,2014,Maha,Maize,16839,42687
Northern,Kilinochchi,2014,Yala,Mango,11278,70939
Uva,Monaragala,2014,Yala,Papaya,374,29443
Sabaragamuwa,Kegalle,2014,Yala,Rice,22658,68155
Uva,Monaragala,2014,Yala,Tomato,3976,113236
Western,Gampaha,2014,Maha,Brinjal,468,11108
North Central,Anuradhapura,2014,Maha,Cabbage,2,25
Central,Matale,2014,Yala,Maize,4474,31618
Central,Matale,2014,Maha,Rice,6553,14377
North Central,Anuradhapura,2014,Yala,Tomato,4191,87055
Southern,Matara,2014,Maha,Rice,29211,82532
Eastern,Batticaloa,1997,Yala,Maize,100,300
Northern,Mullaitivu,1997,Maha,Rice,42300,84400
Central,Matale,1997,Yala,Rice,57400,137400
North Western,Puttalam,1998,Yala,Maize,100,300
Central,Nuwara Eliya,1998,Maha,Rice,42000,105400
Uva,Monaragala,1998,Maha,Maize,100,300
Central,Nuwara Eliya,1998,Maha,Rice,62400,159200
Central,Kandy,1999,Maha,Maize,181,514
Eastern,Trincomalee,1999,Maha,Rice,37542,75477
Eastern,Trincomalee,1999,Yala,Maize,67,324
Sabaragamuwa,Kegalle,1999,Maha,Rice,37489,76800
Southern,Galle,2000,Yala,Maize,357,930
North Western,Puttalam,2000,Maha,Rice,33776,89236
Central,Nuwara Eliya,2000,Yala,Maize,56,302
Central,Nuwara Eliya,2000,Maha,Rice,41442,97181
Northern,Mullaitivu,2000,Maha,Banana,953,19033
Eastern,Ampara,2001,Yala,Maize,294,786
North Western,Puttalam,2001,Maha,Rice,24377,55311
Sabaragamuwa,Ratnapura,2001,Maha,Maize,81,524
Southern,Hambantota,2001,Yala,Rice,62049,170573
North Central,Polonnaruwa,2001,Yala,Banana,1005,7156
Southern,Matara,2002,Yala,Maize,261,253
Uva,Monaragala,2002,Yala,Rice,20137,50020
Central,Kandy,2002,Yala,Maize,284,1968
Sabaragamuwa,Kegalle,2002,Yala,Rice,30034,76827
Uva,Monaragala,2002,Yala,Banana,960,50841
North Western,Kurunegala,2002,Yala,Brinjal,1784,18027
North Central,Anuradhapura,2002,Maha,Cabbage,4,0
Eastern,Batticaloa,2002,Yala,Mango,47834,335015
Sabaragamuwa,Ratnapura,2002,Maha,Papaya,39,5087
Sabaragamuwa,Ratnapura,2002,Maha,Tomato,16838,139087
Central,Nuwara Eliya,2003,Yala,Maize,742,1273
Western,Colombo,2003,Maha,Rice,18495,38562
Sabaragamuwa,Kegalle,2003,Maha,Maize,392,2195
Northern,Vavuniya,2003,Maha,Rice,27286,46714
North Central,Polonnaruwa,2003,Maha,Banana,587,21222
North Central,Anuradhapura,2003,Maha,Brinjal,1664,18271
Northern,Jaffna,2003,Maha,Cabbage,73,0
Northern,Mannar,2003,Yala,Mango,48572,234579
Northern,Kilinochchi,2003,Maha,Papaya,17,1544
North Central,Anuradhapura,2003,Maha,Tomato,19636,180151
Southern,Hambantota,2004,Maha,Maize,509,1461
North Central,Anuradhapura,2004,Yala,Rice,19055,43331
Western,Kalutara,2004,Maha,Maize,354,2559
Central,Matale,2004,Yala,Rice,25822,69177
Uva,Monaragala,2004,Yala,Banana,586,30560
Southern,Galle,2005,Maha,Maize,417,2150
Eastern,Trincomalee,2005,Maha,Rice,16240,37173
Uva,Monaragala,2005,Yala,Maize,356,2660
Central,Matale,2005,Yala,Rice,66351,193612
Western,Gampaha,2005,Maha,Banana,468,25070
Western,Kalutara,2006,Yala,Maize,386,1378
Eastern,Trincomalee,2006,Yala,Rice,17049,42520
Southern,Galle,2006,Yala,Maize,788,5971
Northern,Vavuniya,2006,Maha,Rice,29164,85101
Southern,Galle,2006,Maha,Banana,556,27205
Western,Kalutara,2007,Maha,Maize,1000,3000
North Central,Polonnaruwa,2007,Maha,Rice,15000,42000
Central,Nuwara Eliya,2007,Maha,Maize,1000,4000
Eastern,Trincomalee,2007,Yala,Rice,37000,116000
Central,Nuwara Eliya,2008,Maha,Maize,843,3937
North Western,Kurunegala,2008,Yala,Rice,17596,46242
North Western,Puttalam,2008,Maha,Maize,957,8450
Southern,Matara,2008,Yala,Rice,37927,118636
Western,Colombo,2008,Yala,Banana,708,22390
Western,Kalutara,2009,Maha,Maize,1326,4915
Northern,Mullaitivu,2009,Maha,Rice,19758,56192
Northern,Jaffna,2009,Yala,Maize,611,4466
Northern,Mullaitivu,2009,Maha,Rice,35155,113937
North Central,Anuradhapura,2009,Yala,Banana,769,40826
Uva,Monaragala,2010,Yala,Maize,970,4969
Sabaragamuwa,Ratnapura,2010,Yala,Rice,18019,53639
Uva,Badulla,2010,Maha,Maize,539,4914
Central,Matale,2010,Yala,Rice,43558,131502
Uva,Monaragala,2010,Yala,Banana,923,46782
North Central,Anuradhapura,2011,Maha,Maize,930,3084
Central,Nuwara Eliya,2011,Yala,Rice,17342,55719
Uva,Monaragala,2011,Yala,Maize,877,6805
North Central,Polonnaruwa,2011,Yala,Rice,33764,113211
Sabaragamuwa,Ratnapura,2011,Maha,Banana,886,55948
Uva,Monaragala,2012,Maha,Brinjal,875,18642
North Central,Anuradhapura,2012,Maha,Cabbage,106,1200
Northern,Mullaitivu,2012,Yala,Maize,1078,4375
Western,Colombo,2012,Maha,Mango,56760,502212
Northern,Jaffna,2012,Maha,Papaya,558,60785
Western,Kalutara,2012,Maha,Rice,12952,45241
Eastern,Batticaloa,2012,Maha,Tomato,8521,143886
Eastern,Batticaloa,2012,Yala,Brinjal,729,15531
Eastern,Trincomalee,2012,Maha,Cabbage,179,2027
Sabaragamuwa,Kegalle,2012,Yala,Maize,547,3876
Northern,Jaffna,2012,Yala,Rice,34557,126168
Western,Colombo,2012,Maha,Tomato,4908,106037
North Central,Anuradhapura,2013,Maha,Brinjal,919,19001
Central,Matale,2013,Maha,Cabbage,114,2140
North Central,Polonnaruwa,2013,Yala,Maize,1905,7683
Central,Kandy,2013,Yala,Mango,66615,588344
North Western,Kurunegala,2013,Yala,Papaya,526,13845
North Central,Polonnaruwa,2013,Maha,Rice,15206,48766
Uva,Badulla,2013,Maha,Tomato,8397,232496
Uva,Badulla,2013,Yala,Brinjal,774,16003
Southern,Matara,2013,Yala,Cabbage,181,3398
Northern,Mullaitivu,2013,Maha,Maize,1303,9713
Central,Matale,2013,Maha,Rice,34654,120249
Central,Matale,2013,Yala,Tomato,5199,116546
Northern,Mullaitivu,2013,Yala,Banana,910,50203
Sabaragamuwa,Ratnapura,2014,Yala,Brinjal,924,21932
Southern,Matara,2014,Maha,Cabbage,120,3491
Sabaragamuwa,Ratnapura,2014,Maha,Maize,2693,8820
Sabaragamuwa,Kegalle,2014,Yala,Mango,64633,462384
Sabaragamuwa,Ratnapura,2014,Maha,Papaya,519,13790
Northern,Kilinochchi,2014,Yala,Rice,13304,44462
Sabaragamuwa,Kegalle,2014,Yala,Tomato,8139,192268
Uva,Monaragala,2014,Yala,Brinjal,785,18633
Eastern,Ampara,2014,Yala,Cabbage,161,4684
North Western,Puttalam,2014,Yala,Maize,984,6429
Central,Nuwara Eliya,2014,Yala,Rice,27661,87962
Central,Matale,2014,Yala,Tomato,4998,126185
North Western,Kurunegala,2014,Maha,Rice,40965,132424
Northern,Mullaitivu,1997,Yala,Maize,1600,2900
North Central,Anuradhapura,1997,Maha,Rice,214100,429300
Northern,Kilinochchi,1997,Yala,Maize,3600,13700
Central,Matale,1997,Yala,Rice,154400,491500
Central,Kandy,1998,Yala,Maize,1700,3600
North Western,Kurunegala,1998,Yala,Rice,256300,386600
Sabaragamuwa,Kegalle,1998,Yala,Maize,3800,18700
Northern,Jaffna,1998,Yala,Rice,157600,656600
Western,Kalutara,1999,Maha,Maize,1522,4324
North Western,Kurunegala,1999,Yala,Rice,244655,628606
Uva,Monaragala,1999,Yala,Maize,4266,20652
Central,Nuwara Eliya,1999,Maha,Rice,161551,645162
North Western,Puttalam,2000,Maha,Maize,1406,3661
Northern,Jaffna,2000,Maha,Rice,253966,683423
Central,Kandy,2000,Yala,Maize,4108,22117
North Central,Polonnaruwa,2000,Yala,Rice,162861,683202
North Western,Puttalam,2000,Maha,Banana,11043,124386
Southern,Matara,2001,Maha,Maize,1204,3218
Central,Matale,2001,Yala,Rice,220811,579850
Northern,Kilinochchi,2001,Maha,Maize,2597,16810
Eastern,Trincomalee,2001,Yala,Rice,165779,750150
Western,Gampaha,2001,Maha,Banana,10258,122822
Sabaragamuwa,Ratnapura,2002,Yala,Maize,1423,1379
Northern,Mannar,2002,Yala,Rice,194809,551115
Uva,Badulla,2002,Maha,Maize,5975,41407
Uva,Monaragala,2002,Yala,Rice,106427,491906
Eastern,Ampara,2002,Maha,Banana,7949,116270
Sabaragamuwa,Kegalle,2002,Yala,Brinjal,1889,21378
Southern,Galle,2002,Maha,Cabbage,116,0
Eastern,Ampara,2002,Maha,Mango,18957,92583
Eastern,Trincomalee,2002,Maha,Papaya,11,1435
Central,Kandy,2002,Maha,Tomato,681,4557
Uva,Monaragala,2003,Maha,Maize,2116,3631
Central,Matale,2003,Yala,Rice,234673,762453
Western,Gampaha,2003,Maha,Maize,6392,35795
Sabaragamuwa,Kegalle,2003,Yala,Rice,165321,869092
Southern,Hambantota,2003,Yala,Banana,9547,67488
Southern,Matara,2003,Maha,Brinjal,2783,66647
Northern,Jaffna,2003,Yala,Cabbage,99,0
Eastern,Batticaloa,2003,Yala,Mango,19181,47363
Western,Colombo,2003,Yala,Papaya,31,2815
Uva,Monaragala,2003,Maha,Tomato,738,7088
Southern,Matara,2004,Yala,Maize,1881,5556
Western,Gampaha,2004,Yala,Rice,224521,743614
North Central,Polonnaruwa,2004,Yala,Maize,6094,41080
North Central,Anuradhapura,2004,Maha,Rice,162903,766296
Central,Nuwara Eliya,2004,Maha,Banana,10324,96684
Uva,Monaragala,2005,Maha,Maize,1763,6308
Northern,Kilinochchi,2005,Maha,Rice,217411,348727
Southern,Matara,2005,Maha,Maize,7838,59349
Eastern,Batticaloa,2005,Maha,Rice,170012,800927
Eastern,Trincomalee,2005,Maha,Banana,15432,215971
Southern,Hambantota,2006,Maha,Maize,1735,4757
Sabaragamuwa,Ratnapura,2006,Maha,Rice,227930,547716
Northern,Jaffna,2006,Maha,Maize,6191,61867
Western,Gampaha,2006,Yala,Rice,168963,845829
Sabaragamuwa,Ratnapura,2006,Maha,Banana,16772,295690
Sabaragamuwa,Ratnapura,2007,Yala,Maize,2000,6000
Central,Kandy,2007,Yala,Rice,242000,715000
North Central,Polonnaruwa,2007,Yala,Maize,6000,49000
Sabaragamuwa,Ratnapura,2007,Yala,Rice,169000,803000
Sabaragamuwa,Kegalle,2008,Yala,Maize,1602,5154
North Western,Puttalam,2008,Yala,Rice,240231,716609
Central,Kandy,2008,Maha,Maize,6581,49107
Uva,Monaragala,2008,Yala,Rice,169861,796648
North Western,Kurunegala,2008,Yala,Banana,15363,291774
North Western,Puttalam,2009,Maha,Maize,983,3547
Southern,Matara,2009,Yala,Rice,202153,616567
North Central,Anuradhapura,2009,Yala,Maize,8005,59821
Sabaragamuwa,Ratnapura,2009,Maha,Rice,104423,456537
North Central,Anuradhapura,2009,Yala,Banana,16159,354092
Northern,Jaffna,2010,Maha,Maize,469,1399
Southern,Matara,2010,Maha,Rice,237640,457704
Uva,Monaragala,2010,Yala,Maize,7463,54704
North Central,Polonnaruwa,2010,Yala,Rice,172888,849917
Eastern,Trincomalee,2010,Yala,Banana,14357,392291
Northern,Mannar,2011,Yala,Maize,468,1727
Central,Kandy,2011,Maha,Rice,197445,589741
Uva,Monaragala,2011,Maha,Maize,8067,54017
Northern,Mannar,2011,Maha,Rice,139649,587084
Southern,Galle,2011,Yala,Banana,13620,302514
North Western,Puttalam,2012,Yala,Brinjal,1751,19678
North Western,Kurunegala,2012,Yala,Cabbage,22,579
Southern,Hambantota,2012,Yala,Maize,495,1938
Western,Gampaha,2012,Yala,Mango,15851,157496
North Western,Kurunegala,2012,Maha,Papaya,231,25164
Central,Matale,2012,Maha,Rice,232300,355651
Central,Matale,2012,Maha,Tomato,433,9453
Eastern,Trincomalee,2012,Maha,Brinjal,865,9721
Sabaragamuwa,Ratnapura,2012,Maha,Cabbage,31,816
Western,Colombo,2012,Yala,Maize,9485,71659
Uva,Monaragala,2012,Maha,Rice,168756,746239
North Western,Puttalam,2012,Maha,Tomato,666,6486
Central,Nuwara Eliya,2013,Maha,Brinjal,1615,10528
Southern,Hambantota,2013,Yala,Cabbage,22,413
North Western,Kurunegala,2013,Yala,Maize,513,1626
Sabaragamuwa,Ratnapura,2013,Maha,Mango,15017,162814
Southern,Hambantota,2013,Yala,Papaya,271,26530
Northern,Jaffna,2013,Yala,Rice,235159,434104
Northern,Mullaitivu,2013,Maha,Tomato,400,7151
North Western,Puttalam,2013,Yala,Brinjal,908,5919
Sabaragamuwa,Kegalle,2013,Yala,Cabbage,28,526
Western,Gampaha,2013,Yala,Maize,10684,92096
North Western,Puttalam,2013,Maha,Rice,169523,777602
Central,Nuwara Eliya,2013,Maha,Tomato,716,8094
North Central,Anuradhapura,2013,Maha,Banana,12427,153871
North Western,Puttalam,2014,Yala,Brinjal,1509,9135
North Western,Puttalam,2014,Maha,Cabbage,22,271
Southern,Galle,2014,Yala,Maize,755,2500
North Central,Polonnaruwa,2014,Yala,Mango,15820,191027
Central,Matale,2014,Maha,Papaya,305,24011
North Western,Kurunegala,2014,Maha,Rice,226072,681833
Southern,Hambantota,2014,Yala,Tomato,407,5851
Sabaragamuwa,Ratnapura,2014,Yala,Brinjal,974,5897
North Western,Puttalam,2014,Maha,Cabbage,23,284
North Central,Anuradhapura,2014,Maha,Maize,12156,98257
Eastern,Trincomalee,2014,Yala,Rice,168045,881396
North Central,Anuradhapura,2014,Yala,Tomato,628,8509
Northern,Mannar,2014,Maha,Rice,394117,1563229
Central,Kandy,1997,Yala,Maize,1700,3100
Uva,Badulla,1997,Yala,Rice,295000,845300
North Western,Puttalam,1997,Yala,Maize,5000,19000
North Central,Polonnaruwa,1997,Yala,Rice,14500,51800
Uva,Badulla,1998,Maha,Maize,2300,4700
Southern,Matara,1998,Maha,Rice,298400,921400
Eastern,Batticaloa,1998,Maha,Maize,2800,14100
Central,Nuwara Eliya,1998,Yala,Rice,29100,99900
North Central,Anuradhapura,1999,Yala,Maize,3853,10946
Uva,Badulla,1999,Maha,Rice,302886,969414
Eastern,Ampara,1999,Yala,Maize,3755,18178
Northern,Vavuniya,1999,Yala,Rice,14822,53167
Central,Kandy,2000,Yala,Maize,5281,13752
Central,Nuwara Eliya,2000,Maha,Rice,292899,987363
Northern,Vavuniya,2000,Yala,Maize,4516,24314
North Western,Puttalam,2000,Yala,Rice,12692,49600
Northern,Kilinochchi,2000,Maha,Banana,7612,141059
Central,Nuwara Eliya,2001,Maha,Maize,2549,6814
Central,Matale,2001,Maha,Rice,272468,935110
Uva,Badulla,2001,Yala,Maize,4369,28281
Eastern,Ampara,2001,Maha,Rice,44917,181060
Northern,Kilinochchi,2001,Yala,Banana,7967,204939
Eastern,Trincomalee,2002,Maha,Maize,2327,2255
Northern,Mullaitivu,2002,Maha,Rice,202953,646811
Southern,Galle,2002,Maha,Maize,6450,44699
Central,Kandy,2002,Maha,Rice,2716,7385
Uva,Monaragala,2002,Yala,Banana,6720,151697
Eastern,Trincomalee,2002,Yala,Brinjal,1169,23076
Northern,Jaffna,2002,Yala,Cabbage,162,0
Western,Gampaha,2002,Maha,Mango,984,10186
Southern,Hambantota,2002,Yala,Papaya,87,11349
North Central,Polonnaruwa,2002,Maha,Tomato,1067,7291
North Western,Kurunegala,2003,Maha,Maize,3891,6677
Eastern,Ampara,2003,Yala,Rice,170487,482990
Uva,Monaragala,2003,Maha,Maize,22949,128514
North Central,Polonnaruwa,2003,Maha,Rice,5772,16837
Western,Gampaha,2003,Maha,Banana,5681,42238
North Western,Kurunegala,2003,Maha,Brinjal,1231,17657
Western,Gampaha,2003,Maha,Cabbage,283,0
North Central,Anuradhapura,2003,Yala,Mango,913,2552
North Western,Kurunegala,2003,Yala,Papaya,88,7991
Western,Kalutara,2003,Maha,Tomato,1478,14161
Uva,Badulla,2004,Maha,Maize,2749,8121
Northern,Vavuniya,2004,Yala,Rice,240404,833961
Central,Matale,2004,Maha,Maize,32788,279714
Northern,Vavuniya,2004,Yala,Rice,21247,70922
North Central,Polonnaruwa,2004,Yala,Banana,6340,180798
Eastern,Trincomalee,2005,Maha,Maize,1617,5786
Central,Matale,2005,Maha,Rice,288879,892636
Southern,Hambantota,2005,Maha,Maize,22565,237023
Uva,Badulla,2005,Yala,Rice,31434,111559
Southern,Galle,2005,Yala,Banana,6263,164925
North Western,Puttalam,2006,Maha,Maize,1132,3104
Central,Nuwara Eliya,2006,Maha,Rice,288638,783941
Southern,Matara,2006,Yala,Maize,34010,280276
Southern,Matara,2006,Yala,Rice,28933,100947
Western,Colombo,2006,Yala,Banana,5653,173479
Northern,Vavuniya,2007,Yala,Maize,1000,3000
Western,Colombo,2007,Maha,Rice,283000,976000
Central,Kandy,2007,Yala,Maize,58000,517000
Central,Nuwara Eliya,2007,Maha,Rice,24000,85000
North Central,Polonnaruwa,2008,Yala,Maize,784,2522
Western,Kalutara,2008,Yala,Rice,281491,959321
Sabaragamuwa,Ratnapura,2008,Yala,Maize,95547,950884
Northern,Kilinochchi,2008,Yala,Rice,51358,187662
Central,Matale,2008,Maha,Banana,5519,174969
North Central,Polonnaruwa,2009,Maha,Maize,530,1912
Western,Colombo,2009,Maha,Rice,190526,683226
Northern,Mannar,2009,Yala,Maize,68798,529745
Western,Gampaha,2009,Maha,Rice,112342,383423
Southern,Matara,2009,Maha,Banana,5177,122452
North Central,Anuradhapura,2010,Maha,Maize,269,802
Northern,Kilinochchi,2010,Maha,Rice,271072,649760
North Western,Kurunegala,2010,Yala,Maize,80083,904377
North Western,Puttalam,2010,Yala,Rice,58393,201806
Northern,Jaffna,2010,Yala,Banana,5045,151597
Western,Kalutara,2011,Yala,Maize,792,2922
North Central,Polonnaruwa,2011,Maha,Rice,281790,1080921
North Western,Kurunegala,2011,Yala,Maize,70965,627331
North Central,Polonnaruwa,2011,Yala,Rice,11012,39060
North Western,Kurunegala,2011,Yala,Banana,5595,216308
Southern,Hambantota,2012,Maha,Brinjal,621,6424
Western,Gampaha,2012,Yala,Cabbage,47,1238
Southern,Galle,2012,Yala,Maize,1103,4319
North Western,Puttalam,2012,Yala,Mango,703,5422
Southern,Galle,2012,Yala,Papaya,322,35076
North Western,Puttalam,2012,Maha,Rice,174699,607778
Northern,Mullaitivu,2012,Maha,Tomato,783,27537
Southern,Galle,2012,Maha,Brinjal,468,4841
Eastern,Ampara,2012,Yala,Cabbage,28,737
Western,Gampaha,2012,Yala,Maize,82043,662579
Central,Kandy,2012,Maha,Rice,8362,29903
Sabaragamuwa,Ratnapura,2012,Yala,Tomato,788,7674
Southern,Galle,2013,Maha,Brinjal,613,3954
Uva,Monaragala,2013,Maha,Cabbage,45,845
Western,Colombo,2013,Yala,Maize,1530,4850
Eastern,Batticaloa,2013,Maha,Mango,710,5304
Eastern,Trincomalee,2013,Maha,Papaya,300,29369
North Western,Kurunegala,2013,Yala,Rice,280060,912716
North Western,Puttalam,2013,Yala,Tomato,688,18292
Sabaragamuwa,Kegalle,2013,Yala,Brinjal,484,3122
Northern,Kilinochchi,2013,Maha,Cabbage,32,601
Uva,Badulla,2013,Yala,Maize,85535,643394
Central,Nuwara Eliya,2013,Yala,Rice,48107,183288
Sabaragamuwa,Ratnapura,2013,Yala,Tomato,682,7710
North Central,Polonnaruwa,2013,Yala,Banana,5574,211734
Central,Kandy,2014,Yala,Brinjal,448,10512
Southern,Hambantota,2014,Yala,Cabbage,48,592
Western,Kalutara,2014,Yala,Maize,367,1215
North Central,Polonnaruwa,2014,Yala,Mango,789,6592
North Central,Polonnaruwa,2014,Yala,Papaya,176,13856
Sabaragamuwa,Ratnapura,2014,Yala,Rice,255607,1000190
Northern,Vavuniya,2014,Maha,Tomato,462,6642
